Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,6,0.882,0.8,0.882,2.6681149005889893,0
2,5,0.674,0.8,0.882,2.517860174179077,1
3,6,0.938,0.8,0.938,2.2220265865325928,0
4,5,0.916,0.8,0.938,3.1293511390686035,9
5,5,0.894,0.8,0.938,2.3723795413970947,0
6,5,0.713,0.8,0.938,2.7625155448913574,0
7,7,0.865,0.8,0.938,2.6014626026153564,0
8,6,0.913,0.8,0.938,1.7946019172668457,2
9,5,0.702,0.8,0.938,1.8600289821624756,1
10,5,0.751,0.8,0.938,2.689823627471924,10
11,5,0.631,0.8,0.938,2.640474796295166,1
12,6,0.838,0.8,0.938,2.1814124584198,5
13,5,0.748,0.8,0.938,3.0312752723693848,8
14,7,0.935,0.8,0.938,2.880737781524658,0
15,5,0.793,0.8,0.938,2.8607735633850098,1
16,5,0.631,0.8,0.938,3.0305707454681396,2
17,5,0.483,0.8,0.938,2.933051824569702,0
18,5,0.846,0.8,0.938,2.8106706142425537,0
19,5,0.926,0.8,0.938,3.007110118865967,0
20,5,0.851,0.8,0.938,2.201272964477539,4
21,5,0.624,0.8,0.938,3.0312070846557617,7
22,5,0.906,0.8,0.938,2.5180482864379883,1
23,5,0.92,0.8,0.938,3.3481526374816895,1
24,5,0.883,0.8,0.938,3.15321683883667,5
25,6,0.838,0.8,0.938,3.583369493484497,0
26,7,0.903,0.8,0.938,2.462343454360962,0
27,6,0.862,0.8,0.938,3.0135457515716553,0
28,5,0.82,0.8,0.938,2.445009231567383,1
29,7,0.906,0.8,0.938,3.4729092121124268,3
30,5,0.67,0.8,0.938,2.5673506259918213,0
31,5,0.702,0.8,0.938,2.2254292964935303,0
32,5,0.562,0.8,0.938,3.7132134437561035,2
33,5,0.886,0.8,0.938,3.566481828689575,1
34,5,0.88,0.8,0.938,2.616255521774292,0
35,5,0.854,0.8,0.938,2.6895291805267334,1
36,5,0.823,0.8,0.938,1.9327661991119385,0
37,5,0.689,0.8,0.938,2.9559051990509033,1
38,5,0.934,0.8,0.938,1.5912481546401978,1
39,5,0.905,0.8,0.938,2.883364200592041,2
40,5,0.789,0.8,0.938,2.4212746620178223,1
41,6,0.911,0.8,0.938,3.277104139328003,3
42,5,0.577,0.8,0.938,2.687924861907959,1
43,5,0.88,0.8,0.938,2.5170726776123047,3
44,5,0.939,0.8,0.9393,2.6396400928497314,2
45,5,0.771,0.8,0.9393,2.566592216491699,1
46,5,0.696,0.8,0.9393,2.2988016605377197,1
47,7,0.87,0.8,0.9393,2.6896538734436035,8
48,5,0.873,0.8,0.9393,3.4211933612823486,5
49,5,0.659,0.8,0.9393,2.4700639247894287,0
50,5,0.918,0.8,0.9393,3.152675151824951,2
51,5,0.896,0.8,0.9393,2.4937829971313477,0
52,5,0.926,0.8,0.9393,1.6399424076080322,1
53,5,0.6,0.8,0.9393,2.469902753829956,2
54,5,0.91,0.8,0.9393,3.371400833129883,1
55,5,0.647,0.8,0.9393,2.6898627281188965,0
56,5,0.793,0.8,0.9393,2.1277711391448975,3
57,6,0.913,0.8,0.9393,2.6491522789001465,1
58,5,0.669,0.8,0.9393,3.0063533782958984,0
59,5,0.888,0.8,0.9393,3.177107572555542,6
60,5,0.677,0.8,0.9393,2.760636568069458,3
61,7,0.888,0.8,0.9393,2.65380859375,1
62,5,0.905,0.8,0.9393,2.957385778427124,2
63,5,0.653,0.8,0.9393,3.3935534954071045,14
64,5,0.827,0.8,0.9393,3.053208589553833,3
65,5,0.854,0.8,0.9393,2.371614694595337,1
66,6,0.879,0.8,0.9393,3.6020803451538086,2
67,5,0.938,0.8,0.9393,2.079272747039795,1
68,5,0.745,0.8,0.9393,2.785953998565674,0
69,5,0.821,0.8,0.9393,1.762433648109436,2
70,5,0.673,0.8,0.9393,2.713644504547119,2
71,5,0.54,0.8,0.9393,2.0304195880889893,0
72,5,0.938,0.8,0.9393,2.275236129760742,6
73,5,0.903,0.8,0.9393,2.6142585277557373,5
74,5,0.882,0.8,0.9393,3.1025760173797607,0
75,5,0.919,0.8,0.9393,3.346604824066162,6
76,5,0.88,0.8,0.9393,2.4923577308654785,1
77,5,0.712,0.8,0.9393,2.567452907562256,2
78,5,0.934,0.8,0.9393,2.6645941734313965,1
79,5,0.912,0.8,0.9393,2.567122220993042,1
80,6,0.936,0.8,0.9393,2.8920400142669678,4
81,5,0.698,0.8,0.9393,2.077970027923584,5
82,5,0.689,0.8,0.9393,2.931687355041504,5
83,5,0.705,0.8,0.9393,1.9320061206817627,0
84,6,0.913,0.8,0.9393,2.6065897941589355,0
85,6,0.902,0.8,0.9393,2.6683847904205322,0
86,5,0.879,0.8,0.9393,3.611741304397583,7
87,5,0.851,0.8,0.9393,2.882601261138916,0
88,5,0.828,0.8,0.9393,1.7128407955169678,0
89,5,0.716,0.8,0.9393,2.978853464126587,0
90,5,0.837,0.8,0.9393,3.32106351852417,1
91,5,0.619,0.8,0.9393,2.76133394241333,1
92,5,0.632,0.8,0.9393,2.979550838470459,2
93,6,0.866,0.8,0.9393,2.1381399631500244,4
94,5,0.916,0.8,0.9393,2.735368251800537,4
95,5,0.876,0.8,0.9393,3.172658920288086,9
96,6,0.884,0.8,0.9393,2.38370680809021,1
97,5,0.89,0.8,0.9393,2.0784544944763184,0
98,5,0.84,0.8,0.9393,3.4144630432128906,2
99,5,0.733,0.8,0.9393,2.637680768966675,3
100,5,0.924,0.8,0.9393,2.3437516689300537,0
101,7,0.936,0.8,0.9393,1.8164130449295044,8
102,5,0.899,0.8,0.9393,2.12491774559021,2
103,7,0.896,0.8,0.9393,2.8596320152282715,2
104,5,0.906,0.8,0.9393,3.0765380859375,12
105,5,0.916,0.8,0.9393,2.853158712387085,3
106,5,0.936,0.8,0.9393,2.6615519523620605,1
107,5,0.847,0.8,0.9393,2.8054654598236084,0
108,5,0.94,0.8,0.9398,2.441643476486206,2
109,6,0.812,0.8,0.9398,3.131317377090454,1
110,5,0.865,0.8,0.9398,2.5160608291625977,2
111,5,0.52,0.8,0.9398,2.7324306964874268,1
112,5,0.935,0.8,0.9398,2.6854333877563477,2
113,5,0.903,0.8,0.9398,2.707850694656372,0
114,5,0.875,0.8,0.9398,2.7069926261901855,5
115,7,0.916,0.8,0.9398,2.7029545307159424,1
116,6,0.903,0.8,0.9398,2.8239238262176514,1
117,5,0.929,0.8,0.9398,2.0766007900238037,4
118,5,0.528,0.8,0.9398,1.5898046493530273,1
119,5,0.917,0.8,0.9398,2.7048544883728027,0
120,5,0.796,0.8,0.9398,2.6309475898742676,6
121,6,0.91,0.8,0.9398,2.156634569168091,0
122,5,0.541,0.8,0.9398,2.8989012241363525,1
123,7,0.919,0.8,0.9398,2.6632940769195557,0
124,5,0.766,0.8,0.9398,3.5181174278259277,1
125,5,0.736,0.8,0.9398,3.254314422607422,1
126,6,0.808,0.8,0.9398,2.5763680934906006,2
127,7,0.895,0.8,0.9398,3.0356152057647705,1
128,5,0.909,0.8,0.9398,2.6009833812713623,1
129,5,0.755,0.8,0.9398,2.457521677017212,7
130,6,0.898,0.8,0.9398,1.9544258117675781,2
131,6,0.904,0.8,0.9398,2.7217025756835938,2
132,6,0.908,0.8,0.9398,2.1546380519866943,7
133,7,0.913,0.8,0.9398,3.0170016288757324,3
134,5,0.937,0.8,0.9398,3.1737473011016846,4
135,5,0.812,0.8,0.9398,2.7050445079803467,1
136,5,0.597,0.8,0.9398,2.4982681274414062,0
137,6,0.873,0.8,0.9398,2.547301769256592,1
138,7,0.93,0.8,0.9398,1.7794212102890015,0
139,5,0.454,0.8,0.9398,3.524157762527466,8
140,5,0.73,0.8,0.9398,2.3925530910491943,5
141,5,0.797,0.8,0.9398,2.73687744140625,0
142,5,0.859,0.8,0.9398,2.7594926357269287,0
143,5,0.896,0.8,0.9398,3.225738048553467,1
144,5,0.82,0.8,0.9398,2.7300333976745605,2
145,5,0.924,0.8,0.9398,2.8281774520874023,6
146,5,0.88,0.8,0.9398,3.1785428524017334,6
147,5,0.875,0.8,0.9398,1.8848190307617188,0
148,5,0.912,0.8,0.9398,3.038482666015625,2
149,5,0.847,0.8,0.9398,2.6243677139282227,0
150,5,0.941,0.8,0.9407,2.502553939819336,8
151,5,0.888,0.8,0.9407,2.6318247318267822,5
152,5,0.92,0.8,0.9407,2.4362528324127197,3
153,5,0.91,0.8,0.9407,1.8942406177520752,0
154,5,0.832,0.8,0.9407,1.7080485820770264,3
155,6,0.912,0.8,0.9407,2.3336994647979736,2
156,5,0.756,0.8,0.9407,1.9045641422271729,5
157,5,0.703,0.8,0.9407,2.520033597946167,37
158,5,0.917,0.8,0.9407,2.457767963409424,16
159,5,0.58,0.8,0.9407,2.257030487060547,0
160,5,0.932,0.8,0.9407,2.05007004737854,0
161,5,0.891,0.8,0.9407,1.8995506763458252,43
162,5,0.908,0.8,0.9407,2.4383962154388428,1
163,8,0.937,0.8,0.9407,2.2488274574279785,0
164,5,0.819,0.8,0.9407,1.9076846837997437,1
165,7,0.937,0.8,0.9407,1.8500431776046753,0
166,5,0.915,0.8,0.9407,2.3524112701416016,16
167,5,0.673,0.8,0.9407,1.8738406896591187,3
168,5,0.884,0.8,0.9407,1.8817685842514038,0
169,5,0.933,0.8,0.9407,1.6964893341064453,0
170,5,0.741,0.8,0.9407,1.8560044765472412,11
171,5,0.734,0.8,0.9407,2.39664363861084,4
172,5,0.779,0.8,0.9407,2.2908713817596436,42
173,5,0.911,0.8,0.9407,1.9268648624420166,5
174,4,0.832,0.8,0.9407,1.9268648624420166,1
