model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_0001,423.586,,0.0,325.97,,"[15, 7, 24, 28, 13, 38, 48, 35, 38, 15, 31, 32, 31, 49]",14,"{""0"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""4"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0002,3178.93,,0.0,126.71,,"[22, 1, 12, 24, 15, 8, 38, 18, 15, 33, 24, 19, 27, 12, 49]",15,"{""0"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""2"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""8"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""14"": [""end"", 0.001, 2, ""softmax""]}"
model_0003,489.794,42.08,135.17,109.71,0.5,"[2, 14, 9, 16, 12, 48, 23, 1, 1, 12, 27, 27, 5, 32, 44, 46, 17, 49]",18,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""1"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""2"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""3"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""6"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""8"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""9"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""16"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""17"": [""end"", 0.001, 2, ""softmax""]}"
model_0004,376.81,45.24,139.26,121.46,0.5,"[41, 26, 41, 26, 13, 7, 18, 36, 12, 46, 36, 48, 43, 39, 18, 38, 5, 41, 20, 18, 42, 49]",22,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""5"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""9"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""12"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""18"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""19"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""20"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""21"": [""end"", 0.001, 2, ""softmax""]}"
model_0005,1927.074,,0.0,530.21,,"[17, 19, 31, 4, 14, 33, 42, 12, 47, 10, 4, 21, 32, 20, 49]",15,"{""0"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""7"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""8"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""9"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""10"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""13"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""14"": [""end"", 0.001, 2, ""softmax""]}"
model_0006,898.77,,0.0,123.04,,"[4, 45, 23, 2, 24, 43, 5, 35, 15, 5, 18, 46, 34, 41, 30, 20, 17, 49]",18,"{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""4"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""10"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""11"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""13"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""16"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""17"": [""end"", 0.001, 2, ""softmax""]}"
model_0007,449.862,184.22,61.44,112.29,0.5,"[41, 30, 4, 47, 43, 47, 26, 6, 15, 5, 47, 28, 16, 5, 12, 36, 12, 26, 29, 23, 1, 49]",22,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""3"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""4"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""5"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""8"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""10"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""12"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""13"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""14"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""18"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""19"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""20"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""21"": [""end"", 0.001, 2, ""softmax""]}"
model_0008,4049.602,184.22,1032.19,158.33,0.5,"[12, 28, 1, 24, 20, 36, 23, 26, 41, 45, 19, 37, 40, 11, 9, 15, 1, 10, 7, 30, 24, 49]",22,"{""0"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""3"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""9"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""10"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""13"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""15"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""17"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""18"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""20"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""21"": [""end"", 0.001, 2, ""softmax""]}"
model_0009,794.706,,0.0,267.89,,"[17, 11, 1, 27, 18, 20, 36, 4, 25, 8, 45, 1, 43, 25, 6, 49]",16,"{""0"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""5"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""10"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""11"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""12"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""14"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""15"": [""end"", 0.001, 2, ""softmax""]}"
model_0010,260.652,46.32,323.65,119.82,0.5,"[30, 6, 11, 40, 39, 35, 16, 17, 27, 8, 27, 18, 29, 14, 47, 27, 6, 49]",18,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""2"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""7"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""14"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""17"": [""end"", 0.001, 2, ""softmax""]}"
