model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_001,1.834,,,,0.49,"[59, 305, 301, 302, 204, 35, 382]",7,"{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_002,8.544,,,,0.49,"[206, 39, 257, 143, 287, 351, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_003,138.578,,,,0.73,"[81, 194, 157, 382]",4,"{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_004,1.065,,,,0.63,"[202, 35, 270, 382]",4,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_005,43.762,,,,0.69,"[28, 150, 172, 321, 157, 110, 177, 101, 253, 340, 382]",11,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""10"": [2, ""softmax""]}"
model_006,5.176,,,,0.51,"[334, 27, 20, 23, 148, 75, 382]",7,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_007,3.719,,,,0.78,"[357, 229, 102, 112, 316, 6, 326, 382]",8,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_008,8.665,,,,0.49,"[196, 21, 235, 26, 37, 143, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_009,10.786,,,,0.51,"[74, 120, 67, 70, 42, 351, 231, 201, 63, 382]",10,"{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""8"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_010,4.064,,,,0.51,"[327, 82, 21, 280, 25, 223, 220, 123, 14, 382]",10,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""7"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""9"": [2, ""softmax""]}"
